fief,ECG04,Royston,ECG00,12000,8.00,0.00,0,10.00,10.00,60000,120000,45000,60000,7.00,3839000,10.00,60000,120000,45000,60000,15.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,7.00,C,lang_C2,terr_P,0,285000,false,false,17,Char_18,Char_18,Char_18,,
fief,ECG05,Bedford,ECG00,20000,6.00,2.00,0,10.00,10.00,100000,200000,75000,100000,6.00,2527000,10.00,100000,200000,75000,100000,7.00,475000,0,475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,6.00,C,lang_C2,terr_P,0,475000,false,false,15,Char_18,Char_18,Char_18,,
fief,ECH01,Wilmslow,ECH00,5000,2.00,0.00,0,0.00,0.00,28000,56000,21000,28000,6.00,2056000,0.00,28000,56000,21000,28000,1.00,132000,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,6.00,C,lang_C2,terr_H,0,132000,false,false,17,Char_292,Char_292,Char_292,,
fief,ECH02,Northwich,ECH00,5000,2.00,0.00,0,0.00,0.00,28000,56000,21000,28000,6.00,2056000,0.00,28000,56000,21000,28000,21.00,133000,0,133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.00,6.00,C,lang_C2,terr_P,0,133000,false,false,17,Char_244,Char_244,Char_244,,
fief,ECH03,Chester,ECH00,15000,4.00,2.00,0,10.00,10.00,76000,152000,57000,76000,7.00,2123000,10.00,76000,152000,57000,76000,6.00,360000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,7.00,C,lang_C2,terr_P,0,360000,false,false,17,Char_244,Char_244,Char_244,,
fief,ECH04,Rhuddlan,ECH00,10000,6.00,2.00,0,10.00,10.00,52000,104000,39000,52000,6.00,3738000,10.00,52000,104000,39000,52000,5.00,246000,0,246000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,6.00,C,lang_C2,terr_H,0,246000,false,false,15,Char_244,Char_244,Char_244,,
fief,ECH05,Nantwich,ECH00,5000,2.00,0.00,0,0.00,0.00,28000,56000,21000,28000,6.00,2056000,0.00,28000,56000,21000,28000,21.00,132000,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.00,6.00,C,lang_C2,terr_P,0,132000,false,false,17,Char_244,Char_244,Char_244,,
fief,ECU01,Brampton,ECU00,12000,8.00,0.00,0,10.00,10.00,60000,120000,45000,60000,5.00,3839000,10.00,60000,120000,45000,60000,22.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.00,5.00,C,lang_C2,terr_H,0,285000,false,false,15,Char_199,Char_199,Char_199,,
fief,ECU02,Carlisle,ECU00,20000,7.00,2.00,0,10.00,10.00,100000,200000,75000,100000,7.00,2815000,10.00,100000,200000,75000,100000,28.00,474000,0,474000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.00,7.00,C,lang_C2,terr_H,0,475000,false,false,17,Char_47,Char_47,Char_47,,
fief,ECU03,Alston,ECU00,10000,3.00,2.00,0,10.00,10.00,52000,104000,39000,52000,7.00,2076000,10.00,52000,104000,39000,52000,1.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,7.00,C,lang_C2,terr_H,0,247000,false,false,17,Char_162,Char_162,Char_162,,
fief,ECU04,Keswick,ECU00,12000,9.00,0.00,0,10.00,10.00,60000,120000,45000,60000,6.00,4319000,10.00,60000,120000,45000,60000,3.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,6.00,C,lang_C2,terr_H,0,285000,false,false,15,Char_102,Char_102,Char_102,,
fief,ECU05,Whitehaven,ECU00,12000,7.00,0.00,0,10.00,10.00,60000,120000,45000,60000,7.00,3359000,10.00,60000,120000,45000,60000,2.00,284000,0,284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,7.00,C,lang_C2,terr_H,0,284000,false,false,17,Char_40,Char_40,Char_40,,
fief,ECU06,Kirkby Stephen,ECU00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,7.00,3876000,10.00,52000,104000,39000,52000,2.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,7.00,C,lang_C2,terr_H,0,247000,false,false,17,Char_47,Char_47,Char_47,,
fief,ECU07,Kendal,ECU00,10000,6.00,0.00,0,10.00,10.00,52000,104000,39000,52000,5.00,3322000,10.00,52000,104000,39000,52000,22.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.00,5.00,C,lang_C2,terr_P,0,247000,false,false,15,Char_159,Char_159,Char_159,,
fief,ECW01,Bude,ECW00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,5.00,3876000,10.00,52000,104000,39000,52000,2.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,5.00,C,lang_C5,terr_P,0,247000,false,false,17,Char_47,Char_47,Char_47,,
fief,ECW02,Saltash,ECW00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,7.00,3876000,10.00,52000,104000,39000,52000,2.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,7.00,C,lang_C5,terr_H,0,247000,false,false,15,Char_47,Char_47,Char_47,,
fief,ECW03,Meregissey,ECW00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,7.00,3876000,10.00,52000,104000,39000,52000,2.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,7.00,C,lang_C5,terr_H,0,247000,false,false,17,Char_47,Char_47,Char_47,,
fief,ECW04,Falmouth,ECW00,15000,6.00,2.00,0,10.00,10.00,76000,152000,57000,76000,7.00,2881000,10.00,76000,152000,57000,76000,8.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,7.00,C,lang_C5,terr_H,0,361000,false,false,17,Char_194,Char_194,Char_194,,
fief,ECW05,Penzance,ECW00,5000,4.00,0.00,0,0.00,0.00,28000,56000,21000,28000,7.00,4113000,0.00,28000,56000,21000,28000,3.00,132000,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,7.00,C,lang_C5,terr_P,0,132000,false,false,17,Char_47,Char_47,Char_47,,
fief,EDR01,Chestfield,EDR00,25000,8.00,2.00,0,20.00,20.00,128000,256000,96000,128000,5.00,2823000,20.00,128000,256000,96000,128000,8.00,608000,0,608000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,5.00,C,lang_C2,terr_H,0,609000,false,false,15,Char_294,Char_294,Char_294,,
fief,EDR02,Derby,EDR00,40000,8.00,3.00,0,20.00,20.00,200000,400000,150000,200000,7.00,3551000,20.00,200000,400000,150000,200000,15.00,949000,0,949000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,7.00,C,lang_C2,terr_H,0,950000,false,false,17,Char_47,Char_47,Char_47,,
fief,EDR03,Ashby-de-la-Zouch,EDR00,12000,8.00,0.00,0,10.00,10.00,60000,120000,45000,60000,7.00,3839000,10.00,60000,120000,45000,60000,7.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,7.00,C,lang_C2,terr_P,0,285000,false,false,17,Char_93,Char_93,Char_93,,
fief,EDR04,Leicester,EDR00,35000,15.00,2.00,0,20.00,20.00,176000,352000,132000,176000,5.00,3862000,20.00,176000,352000,132000,176000,13.00,835000,0,835000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.00,5.00,C,lang_C2,terr_P,0,836000,false,false,17,Char_93,Char_93,Char_93,,
fief,EDT01,Blandford,EDT00,10000,6.00,0.00,0,10.00,10.00,52000,104000,39000,52000,6.00,3322000,10.00,52000,104000,39000,52000,6.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,6.00,C,lang_C2,terr_H,0,247000,false,false,15,Char_239,Char_239,Char_239,,
fief,EDT02,Sherborne,EDT00,5000,4.00,0.00,0,0.00,0.00,28000,56000,21000,28000,6.00,4113000,0.00,28000,56000,21000,28000,5.00,132000,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,6.00,C,lang_C2,terr_P,0,132000,false,false,17,Char_101,Char_101,Char_101,,
fief,EDT03,Corfe,EDT00,10000,8.00,0.00,0,0.00,0.00,52000,104000,39000,52000,8.00,4430000,0.00,52000,104000,39000,52000,11.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.00,8.00,C,lang_C2,terr_H,0,247000,false,false,17,Char_47,Char_47,Char_47,,
fief,EDT04,Weymouth,EDT00,12000,8.00,0.00,0,10.00,10.00,60000,120000,45000,60000,7.00,3839000,10.00,60000,120000,45000,60000,10.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,7.00,C,lang_C2,terr_H,0,285000,false,false,17,Char_47,Char_47,Char_47,,
fief,EDT05,Lyme Regis,EDT00,5000,2.00,0.00,0,0.00,0.00,28000,56000,21000,28000,6.00,2056000,0.00,28000,56000,21000,28000,3.00,132000,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,6.00,C,lang_C2,terr_H,0,132000,false,false,17,Char_101,Char_101,Char_101,,
fief,EDU01,Durham,EDU00,30000,5.00,3.00,0,20.00,20.00,152000,304000,114000,152000,7.00,2771000,20.00,152000,304000,114000,152000,12.00,722000,0,722000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00,7.00,C,lang_C2,terr_P,0,723000,false,false,6,Char_46,Char_46,Char_46,,
fief,EDU02,Wolsingham,EDU00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,6.00,3876000,10.00,52000,104000,39000,52000,5.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,6.00,C,lang_C2,terr_H,0,247000,false,false,15,Char_46,Char_46,Char_46,,
fief,EDU03,Hartlepool,EDU00,24000,8.00,2.00,0,20.00,20.00,124000,248000,93000,124000,7.00,2849000,20.00,124000,248000,93000,124000,6.00,589000,0,589000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,7.00,C,lang_C2,terr_P,0,589000,false,false,17,Char_213,Char_213,Char_213,,
fief,EDU04,Raby,EDU00,12000,8.00,0.00,0,10.00,10.00,60000,120000,45000,60000,6.00,3839000,10.00,60000,120000,45000,60000,7.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,6.00,C,lang_C2,terr_P,0,285000,false,false,15,Char_213,Char_213,Char_213,,
fief,EDU05,Middleham,EDU00,15000,9.00,0.00,0,10.00,10.00,76000,152000,57000,76000,8.00,3410000,10.00,76000,152000,57000,76000,4.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00,8.00,C,lang_C2,terr_H,0,361000,false,false,15,Char_166,Char_166,Char_166,,
fief,EDV01,Bampton,EDV00,4000,3.00,0.00,0,0.00,0.00,24000,48000,18000,24000,6.00,3599000,0.00,24000,48000,18000,24000,2.00,114000,0,114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,6.00,C,lang_C2,terr_P,0,114000,false,false,17,Char_111,Char_111,Char_111,,
fief,EDV02,Barnstable,EDV00,4000,3.00,0.00,0,0.00,0.00,24000,48000,18000,24000,8.00,3599000,0.00,24000,48000,18000,24000,2.00,114000,0,114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,8.00,C,lang_C2,terr_P,0,114000,false,false,17,Char_161,Char_161,Char_161,,
fief,EDV03,Exeter,EDV00,15000,6.00,2.00,0,10.00,10.00,76000,152000,57000,76000,7.00,2881000,10.00,76000,152000,57000,76000,8.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,7.00,C,lang_C2,terr_P,0,361000,false,false,17,Char_96,Char_96,Char_96,,
fief,EDV04,Dartmoor,EDV00,4000,3.00,0.00,0,0.00,0.00,24000,48000,18000,24000,6.00,3599000,0.00,24000,48000,18000,24000,2.00,114000,0,114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,6.00,C,lang_C2,terr_H,0,114000,false,false,17,Char_96,Char_96,Char_96,,
fief,EDV05,Oakhampton,EDV00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,8.00,3876000,10.00,52000,104000,39000,52000,10.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,8.00,C,lang_C2,terr_H,0,247000,false,false,17,Char_96,Char_96,Char_96,,
fief,EDV06,Compton,EDV00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,8.00,3876000,10.00,52000,104000,39000,52000,5.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,8.00,C,lang_C2,terr_P,0,247000,false,false,15,Char_47,Char_47,Char_47,,
fief,EDV07,Plymouth,EDV00,20000,6.00,2.00,0,10.00,10.00,100000,200000,75000,100000,7.00,2527000,10.00,100000,200000,75000,100000,7.00,475000,0,475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,7.00,C,lang_C2,terr_H,0,475000,false,false,17,Char_239,Char_239,Char_239,,
fief,EDV08,Salcombe,EDV00,4000,3.00,0.00,0,0.00,0.00,24000,48000,18000,24000,5.00,3599000,0.00,24000,48000,18000,24000,2.00,114000,0,114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,5.00,C,lang_C2,terr_P,0,114000,false,false,15,Char_1,Char_1,Char_1,,
fief,EEX01,Harwich,EEX00,15000,6.00,2.00,0,10.00,10.00,76000,152000,57000,76000,7.00,2881000,10.00,76000,152000,57000,76000,8.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,7.00,C,lang_C2,terr_P,0,361000,false,false,17,Char_233,Char_233,Char_233,,
fief,EEX02,Colchester,EEX00,20000,7.00,2.00,0,10.00,10.00,100000,200000,75000,100000,7.00,2815000,10.00,100000,200000,75000,100000,8.00,474000,0,474000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,7.00,C,lang_C2,terr_P,0,475000,false,false,15,Char_280,Char_280,Char_280,,
fief,EEX03,Pleshey,EEX00,9000,6.00,0.00,0,10.00,10.00,48000,96000,36000,48000,8.00,3599000,10.00,48000,96000,36000,48000,7.00,227000,0,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,8.00,C,lang_C2,terr_P,0,227000,false,false,15,Char_233,Char_233,Char_233,,
fief,EEX04,Burnham-on-Crouch,EEX00,9000,6.00,0.00,0,10.00,10.00,48000,96000,36000,48000,7.00,3599000,10.00,48000,96000,36000,48000,7.00,227000,0,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,7.00,C,lang_C2,terr_P,0,227000,false,false,17,Char_47,Char_47,Char_47,,
fief,EEX05,Chelmsford,EEX00,15000,9.00,0.00,0,10.00,10.00,76000,152000,57000,76000,7.00,3410000,10.00,76000,152000,57000,76000,9.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,7.00,C,lang_C2,terr_P,0,361000,false,false,15,Char_258,Char_258,Char_258,,
fief,EGL01,Chipping Campden,EGL00,9000,4.00,2.00,0,10.00,10.00,48000,96000,36000,48000,5.00,2783000,10.00,48000,96000,36000,48000,5.00,227000,0,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,5.00,C,lang_C2,terr_P,0,227000,false,false,17,Char_97,Char_97,Char_97,,
fief,EGL02,Cheltenham,EGL00,12000,8.00,0.00,0,10.00,10.00,64000,128000,48000,64000,6.00,3599000,10.00,64000,128000,48000,64000,9.00,304000,0,304000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,6.00,C,lang_C2,terr_H,0,304000,false,false,15,Char_97,Char_97,Char_97,,
fief,EGL03,Tewksbury,EGL00,10000,6.00,2.00,0,10.00,10.00,52000,104000,39000,52000,8.00,3738000,10.00,52000,104000,39000,52000,5.00,246000,0,246000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,8.00,C,lang_C2,terr_P,0,246000,false,false,17,Char_97,Char_97,Char_97,,
fief,EGL04,Gloucester,EGL00,24000,8.00,2.00,0,20.00,20.00,124000,248000,93000,124000,7.00,2849000,20.00,124000,248000,93000,124000,10.00,589000,0,589000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,7.00,C,lang_C2,terr_P,0,589000,false,false,15,Char_97,Char_97,Char_97,,
fief,EGL05,Dean,EGL00,15000,7.00,2.00,0,10.00,10.00,76000,152000,57000,76000,8.00,3260000,10.00,76000,152000,57000,76000,16.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00,8.00,C,lang_C2,terr_P,0,361000,false,false,15,Char_158,Char_158,Char_158,,
fief,EGL06,Bristol,EGL00,30000,6.00,3.00,0,20.00,20.00,152000,304000,114000,152000,7.00,2960000,20.00,152000,304000,114000,152000,14.00,721000,0,721000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.00,7.00,C,lang_C2,terr_P,0,722000,false,false,17,Char_97,Char_97,Char_97,,
fief,EHE01,Leominster,EHE00,15000,9.00,0.00,0,10.00,10.00,76000,152000,57000,76000,6.00,3410000,10.00,76000,152000,57000,76000,17.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,6.00,C,lang_C2,terr_P,0,361000,false,false,15,Char_275,Char_275,Char_275,,
fief,EHE02,Llandrindod,EHE00,9000,6.00,0.00,0,10.00,10.00,48000,96000,36000,48000,7.00,3599000,10.00,48000,96000,36000,48000,18.00,227000,0,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,7.00,C,lang_C2,terr_H,0,227000,false,false,17,Char_192,Char_192,Char_192,,
fief,EHE03,Hereford,EHE00,20000,8.00,2.00,0,10.00,10.00,100000,200000,75000,100000,7.00,3103000,10.00,100000,200000,75000,100000,10.00,474000,0,474000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,7.00,C,lang_C2,terr_P,0,475000,false,false,17,Char_47,Char_47,Char_47,,
fief,EHE04,Brecon,EHE00,15000,9.00,0.00,0,10.00,10.00,76000,152000,57000,76000,6.00,3410000,10.00,76000,152000,57000,76000,17.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,6.00,C,lang_C2,terr_H,0,361000,false,false,15,Char_226,Char_226,Char_226,,
fief,EHE05,Monmouth,EHE00,15000,4.00,2.00,0,10.00,10.00,76000,152000,57000,76000,7.00,2123000,10.00,76000,152000,57000,76000,22.00,360000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.00,7.00,C,lang_C2,terr_H,0,360000,false,false,17,Char_253,Char_253,Char_253,,
